© 2000-2023 QIAGEN. All rights reserved.

Categories	Functions	Diseases or Functions Annotation	p-value	B-H p-value	Predicted Activation State	Activation z-score	Molecules	# Molecules
Cell-To-Cell Signaling and Interaction,Inflammatory Response	response	Response of phagocytes	1,78E-02	5,98E-01	Decreased	-2,949	CD47,CD68,CNN2,FGR,GLRX,GRN,GSN,HCK,HMOX1,HSH2D,ITGAX,ITGB2,MAP4K1,NCKAP1L,PSMB8,PTPRC,SPI1,SYK,TNF,UCP2,ZEB2	21
Neurological Disease,Organismal Injury and Abnormalities,Psychological Disorders,Skeletal and Muscular Disorders	Parkinson disease	Parkinson's disease	1,78E-02	5,98E-01	 	 	ANXA2,AP1S2,ARHGDIB,ARL6IP5,CAPZB,DBNL,EEF1A1,FTL,H3-3A/H3-3B,HLA-DQA1,HLA-DRA,NDUFV2,NEAT1,PARK7,PSAP,S100A10,TNF,TPT1,TSPO,VCP,VIM	21
Embryonic Development,Organismal Development	development	Development of genitourinary system	1,78E-02	5,98E-01	 	-0,598	ANXA2,ANXA4,ARHGDIB,CIB1,CXCR4,DUSP1,EHD3,GRB2,GRN,GSN,H3-3A/H3-3B,HMGA1,HSPA4,IDS,ILK,LBH,MEF2C,MTMR14,MTSS1,NCOA3,NCOA4,NDUFS6,NME1,PARP1,PSAP,PTPN1,PTPN6,RAC1,RHOA,SAT1,SRA1,TAF10,TKT,TNF,TSC22D3	35
Cell Morphology,Cellular Assembly and Organization,Cellular Development,Cellular Function and Maintenance,Cellular Growth and Proliferation,Nervous System Development and Function,Organismal Development,Tissue Development	neuritogenesis	Neuritogenesis	1,81E-02	5,98E-01	 	-1,951	CAPNS1,CD47,CFL1,CIB1,CRIP1,DBNL,FLNA,ILK,MEF2C,MTSS1,OGT,PAK2,PFN1,PSMF1,RAC1,RAP1B,RHOA,RHOG,SEPTIN7,SNX3,SSNA1,TNF,TNFRSF1B,TWF2,UGCG,VASP,VIM,YWHAH,ZEB2	29
Cardiovascular System Development and Function,Tissue Morphology	permeability	Permeability of vascular system	1,81E-02	5,98E-01	 	0,594	GSN,ITGB2,LSP1,PLAC8,PTPN6,RAC1,RAP1B,TNF,TNFRSF1B,UCP2,VASP	11
Embryonic Development,Organ Morphology,Organismal Development,Reproductive System Development and Function	mass	Mass of testis	1,81E-02	5,98E-01	 	 	CIB1,DUSP1,HSPA4,IDS,MTMR14,PSAP,PTPN1,SRA1,TKT,TNF,TSC22D3	11
Cellular Function and Maintenance,Small Molecule Biochemistry	homeostasis	Homeostasis of metal ion	1,81E-02	5,98E-01	 	 	ATP2A3,ATP2B1,ATP6V0D1,CYB561A3,FTL,HMOX1,MT2A,MTMR14,NCOA4,TCIRG1,TESC	11
Organismal Injury and Abnormalities,Reproductive System Disease	benign pelvic disease	Benign pelvic disease	1,82E-02	5,98E-01	 	 	ACTB,ANXA2,AP2S1,ATP5F1A,CD68,CHMP2A,CTSH,CUX1,CXCR3,CXCR4,CYBA,DUSP1,DYNLL1,FKBP1A,FLNA,GPI,GRB2,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DRA,HMGA1,HOPX,ITGAX,JAK1,LSP1,MEF2A,MFSD1,MYL6,NDUFV2,PLPP5,PTPN22,RAC1,RAP1B,SAMD3,SAT1,SERPINB1,SPTAN1,TMSB10/TMSB4X,TNF,TNFRSF1B,UGCG,UQCRH,VCP,VIM,YBX1,YWHAH,ZYX	48
Cellular Development	epithelial-mesenchymal transition	Epithelial-mesenchymal transition of breast cancer cell lines	1,83E-02	5,98E-01	 	-1,664	MRPL52,PTPN18,RHOA,TLN1,TNF,ZEB2	6
Tissue Development	formation	Formation of gland	1,83E-02	5,98E-01	 	 	GSN,LBH,LY6E,NCOA3,NME1,TNF	6
Cellular Compromise,Hypersensitivity Response,Inflammatory Response	degranulation	Degranulation of bone marrow-derived mast cells	1,83E-02	5,98E-01	 	-1,109	FGR,PAK2,PTPN6,SYK,WIPF1,ZEB2	6
Infectious Diseases,Organismal Injury and Abnormalities	infectivity	Infectivity of HIV-1	1,83E-02	5,98E-01	 	1,342	CXCR4,HCK,PPIA,SAMHD1,SUMO1,TNF	6
Cellular Assembly and Organization,Cellular Function and Maintenance	secretion	Secretion of granules	1,83E-02	5,98E-01	 	-1,467	ATP2A3,FLNA,PTPN22,RAP1B,RHOA,RHOG	6
Cellular Function and Maintenance,Connective Tissue Development and Function,Skeletal and Muscular System Development and Function,Tissue Development	function	Function of osteoclasts	1,83E-02	5,98E-01	 	 	CD47,CD68,GSN,HCST,PTPRC,TCIRG1	6
Cell-To-Cell Signaling and Interaction,Hematological System Development and Function,Hematopoiesis	adhesion	Adhesion of hematopoietic progenitor cells	1,83E-02	5,98E-01	Decreased	-2,216	CIB1,CXCR3,ITGB2,RAC2,RAP1B,RHOA	6
Cancer,Organismal Injury and Abnormalities,Reproductive System Disease	prostatic intraepithelial neoplasia	Prostatic intraepithelial tumor	1,83E-02	5,98E-01	 	 	ANXA2,ARHGDIB,CUX1,FLNA,LY6E,SERPINB1	6
Cell Death and Survival	killing	Killing of T lymphocytes	1,83E-02	5,98E-01	 	-0,663	CD47,ELOB,PFN1,PTPRCAP,SYK,TNF	6
Neurological Disease,Organismal Injury and Abnormalities	spatial memory impairment	Spatial memory impairment	1,83E-02	5,98E-01	 	 	ARL6IP5,GRN,IDS,SUB1,TCF4,TNF	6
Cardiovascular Disease,Cardiovascular System Development and Function,Organ Morphology,Organismal Development,Organismal Injury and Abnormalities	abnormal morphology	Abnormal morphology of ventricular wall	1,83E-02	5,98E-01	 	 	CXCR4,FKBP1A,HHEX,LY6E,MEF2C,YWHAE	6
Cellular Movement	haptotaxis	Haptotaxis of cells	1,83E-02	5,98E-01	 	-1,257	ACTR2,ARPC2,ILK,PTPN1,RAC1,RHOA	6
Cellular Assembly and Organization,Cellular Function and Maintenance	formation	Formation of actin cytoskeleton	1,83E-02	5,98E-01	 	-1,858	ACTB,DBNL,FLNA,MS4A1,RAC1,WIPF1	6
Cell-To-Cell Signaling and Interaction,Tissue Development	binding	Binding of extracellular matrix	1,83E-02	5,98E-01	 	 	CD82,ITGB2,ITGB7,PARVG,RHOA,ZYX	6
Free Radical Scavenging,Molecular Transport	release	Release of superoxide	1,83E-02	5,98E-01	 	-1,524	ANXA2,FGR,HCK,ITGB2,RAC1,TNF	6
Cell Morphology,Renal and Urological System Development and Function	shape change	Shape change of kidney cell lines	1,83E-02	5,98E-01	 	-1,067	ANXA2,FLNA,GRB2,RAC1,RHOA,VIM	6
Cellular Development,Cellular Growth and Proliferation,Nervous System Development and Function	myelination	Myelination of cells	1,83E-02	5,98E-01	Decreased	-2,194	ILK,OGT,PSAP,RAC1,TNF,TNFRSF1B	6
Connective Tissue Development and Function,Skeletal and Muscular System Development and Function	bone mineral density	Bone mineral density of limb bone	1,83E-02	5,98E-01	 	0,882	FDPS,ITGB2,PTPN6,RAC2,TNF,TSC22D3	6
Cardiovascular Disease,Cardiovascular System Development and Function,Organ Morphology,Organismal Development,Organismal Injury and Abnormalities	abnormal morphology	Abnormal morphology of dilated heart ventricle	1,83E-02	5,98E-01	 	 	CAPNS1,FKBP1A,HMOX1,MEF2A,TNF,YWHAE	6
Cell Death and Survival	apoptosis	Apoptosis of stem cells	1,83E-02	5,98E-01	 	-0,798	HMGA1,MTCH2,NOP53,PCLAF,PFN1,TNF	6
Cell-To-Cell Signaling and Interaction,Nervous System Development and Function	activation	Activation of neuroglia	1,83E-02	5,98E-01	 	0,418	ANXA2,CD47,GRN,PARK7,TNF,VIM	6
Cell-To-Cell Signaling and Interaction,Cellular Assembly and Organization	cell-cell adhesion	Cell-cell adhesion	1,84E-02	5,98E-01	 	-1,435	CD47,CD99,CXCR3,GOLPH3,GPI,H3-3A/H3-3B,ITGB2,LY6E,MTMR14,NME1,OGT,PTPRC,RAC1,SELENOW,SYK,TALDO1,TNF,VDAC1,ZEB2,ZYX	20
Cellular Compromise,Inflammatory Response	degranulation	Degranulation of leukocytes	1,84E-02	5,98E-01	 	-0,830	CORO1A,CSK,DUSP1,FGR,HCK,ITGB2,LAT2,NCKAP1L,PAK2,PTPN22,PTPN6,PTPRC,RAC2,RASGRP1,SPI1,SYK,TNF,VSIR,WIPF1,ZEB2	20
Cell-To-Cell Signaling and Interaction,Cellular Function and Maintenance,Hematological System Development and Function,Inflammatory Response	phagocytosis	Phagocytosis of red blood cells	1,84E-02	5,98E-01	Decreased	-3,489	ACTR2,ACTR3,ARPC2,ARPC3,ARPC4,BRK1,FGR,GNAI2,HCK,ITGB2,JAK1,NCKAP1L,PLEK,RAC1,RAC2,SYK,TLN1,TNF,UBE2L3,WASF2	20
Organismal Injury and Abnormalities	blood clot	Blood clot	1,84E-02	5,98E-01	 	-1,196	ANXA2,ATP2A3,CSK,FLNA,HMOX1,ITGB2,MS4A1,PPIA,PSMB2,PTPN1,PTPN22,RAP1B,RHOA,RHOG,S100A10,SYK,TNF,TNFRSF1B,TWF2,VIM	20
Neurological Disease,Organismal Injury and Abnormalities,Psychological Disorders	Alzheimer disease or frontotemporal dementia	Alzheimer disease or frontotemporal dementia	1,88E-02	5,98E-01	 	 	ACTB,ATP5F1A,ATP5PB,CAPZB,CD68,CFL1,CHI3L2,CIB1,CXCR4,FDFT1,FDPS,GAPDH,GLRX,GRN,HLA-DQA1,HLA-DQB1,HMGA1,HMOX1,LY6E,MEF2C,NEAT1,OGT,PARK7,PARP15,PRDX1,PREX1,PSAP,SCP2,SRPK2,TNF,TSPO,VCP,VDAC1,VIM	34
Cellular Development,Cellular Growth and Proliferation,Nervous System Development and Function,Organismal Development,Tissue Development	development	Development of neurons	1,88E-02	5,98E-01	Decreased	-2,580	CAPNS1,CD47,CFL1,CIB1,CRIP1,CXCR4,DBNL,FLNA,GPI,ILK,ITGB2,MEF2A,MEF2C,MTSS1,OGT,PAK2,PFN1,PSMF1,RAC1,RAP1B,RHOA,RHOG,SEPTIN7,SNX3,SSNA1,TNF,TNFRSF1B,TWF2,UCP2,UGCG,VASP,VIM,YWHAH,ZEB2	34
Cancer,Organismal Injury and Abnormalities	head and neck adenocarcinoma	Head and neck adenocarcinoma	1,89E-02	5,98E-01	 	 	ANXA2,ATP5PF,CD79A,CXCR4,FGR,GAPDH,HLA-DQA1,HMGA1,JAK1,LIMD2,LY6E,NEAT1,PTPRC,RAC1,S100A11,SYK,TESC,TPI1,VIM	19
Cancer,Organismal Injury and Abnormalities	invasive adenocarcinoma	Invasive adenocarcinoma	1,89E-02	5,98E-01	 	 	ACP5,CUX1,EIF4A1,FGR,HLA-DQA1,JAK1,LIMD2,LY6E,MEF2C,OAS1,PAK2,PARP1,PREX1,PSAP,PTPN1,PTPRC,S100A11,TERF2IP,VIM	19
Cellular Development	epithelial-mesenchymal transition	Epithelial-mesenchymal transition	1,89E-02	5,98E-01	Decreased	-2,677	CKS2,DDX17,FLNA,GPI,HHEX,IGF2BP3,ILK,MEF2A,MRPL52,PDLIM1,PTPN18,PTPN6,RAC1,RHOA,SYK,TLN1,TNF,VIM,ZEB2	19
Cellular Movement,Hematological System Development and Function	cell movement	Cell movement of hematopoietic progenitor cells	1,91E-02	5,98E-01	 	-1,189	CXCR3,CXCR4,GNAI2,ITGB2,LCP1,MTCH2,PTPN6,PTPRC,RHOA,SPI1,TCIRG1,TNF	12
Organismal Injury and Abnormalities,Organismal Survival	neonatal death	Neonatal death	1,91E-02	5,98E-01	Increased	2,913	BLOC1S2,CXCR4,EIF4E2,JAK1,MEF2C,POU2F2,PSAP,SPI1,SYK,TCF4,TNF,YBX1	12
Cell Death and Survival,Hematological System Development and Function,Organismal Injury and Abnormalities	cell viability	Cell viability of lymphocytes	1,93E-02	5,98E-01	Decreased	-3,483	CD19,CD47,CD79A,CHD4,FCMR,HCK,HSH2D,MALT1,MEF2C,PTPRC,PYCARD,RAC1,SYK,TNF,TNFRSF1B,TSC22D3,WIPF1,ZEB2	18
Cardiovascular Disease,Hematological Disease,Organismal Injury and Abnormalities	thrombus	Thrombus	1,93E-02	5,98E-01	 	-0,874	ANXA2,ATP2A3,CSK,FLNA,HMOX1,ITGB2,MS4A1,PPIA,PSMB2,PTPN22,RAP1B,RHOA,RHOG,S100A10,SYK,TNF,TNFRSF1B,TWF2	18
Cell-To-Cell Signaling and Interaction,Hematological System Development and Function,Immune Cell Trafficking	adhesion	Adhesion of mononuclear leukocytes	1,93E-02	5,98E-01	Decreased	-2,221	CD47,CD99,CXCR3,CXCR4,GNAI2,ITGAX,ITGB2,JAK1,LCP1,MAP4K1,MYO1G,PTPN6,RAC1,RAC2,RAP1B,RASGRP1,RHOA,TNF	18
Hematological System Development and Function	hemostasis	Hemostasis	1,93E-02	5,98E-01	 	-1,633	ANXA2,ATP2A3,CLIC1,FGR,GNAI2,GPI,GSN,HCK,PLEK,PPIA,RAP1B,RASGRP2,RHOA,SYK,TNF,VASP,VIM,WIPF1	18
Neurological Disease,Organismal Injury and Abnormalities,Psychological Disorders	frontotemporal lobar degeneration or amyotrophic lateral sclerosis	Frontotemporal lobar degeneration or amyotrophic lateral sclerosis	1,93E-02	5,98E-01	 	 	ACTB,CALM1 (includes others),DBI,EEF1A1,EIF4A1,GRN,GSN,JPT1,MEF2C,NEAT1,PARK7,PFN1,PPIA,PSAP,RHOA,TSPO,VCP,VIM	18
Dermatological Diseases and Conditions,Organismal Injury and Abnormalities	abnormality of skin morphology	Abnormality of skin morphology	1,93E-02	5,98E-01	 	-1,342	ACTB,ACTR3,ARPC3,ARPC5,CD19,CD52,CD79A,CFL1,CIB1,CKS2,CXCR4,DHRS9,DYNLL1,EEF1A1,FDPS,FGR,FIBP,FKBP1A,GRN,GSN,HCK,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,IFI30,ILK,ITGB2,ITGB7,JAK1,LAPTM5,LCP1,MS4A1,PARP1,PFN1,PKM,RAC1,RAC2,RHOA,RNPEPL1,SPI1,TERF2IP,TKT,TNF,TPI1,VIM	47
Organismal Injury and Abnormalities,Respiratory Disease	chronic obstructive pulmonary disease	Chronic obstructive pulmonary disease	1,97E-02	5,98E-01	 	1,119	ATP5F1E,ATP5MK,COX5B,COX8A,DBNL,FABP5,FLNA,FUT8,HCK,HLA-DQA1,HMOX1,MT2A,NDUFAB1,PTPN1,PYCARD,TNF,TSPO	17
Cancer,Endocrine System Disorders,Organismal Injury and Abnormalities	papillary thyroid cancer	Papillary thyroid carcinoma	1,97E-02	5,98E-01	 	 	ANXA2,CD79A,CXCR4,FGR,GAPDH,HLA-DQA1,HMGA1,JAK1,LIMD2,LY6E,PTPRC,RAC1,S100A11,SYK,TESC,TPI1,VIM	17
Dermatological Diseases and Conditions,Immunological Disease,Inflammatory Disease,Organismal Injury and Abnormalities	lichen planus	Lichen planus	1,97E-02	5,98E-01	 	 	CD52,CFL1,DYNLL1,EEF1A1,FKBP1A,GRN,GSN,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRA,IFI30,ILK,LAPTM5,LCP1,PFN1,RNPEPL1	17
Organismal Injury and Abnormalities,Respiratory Disease	lung injury	Lung injury	1,97E-02	5,98E-01	 	-0,251	ANXA2,CXCR3,DDAH2,FKBP1A,FUT8,GAPDH,HLA-DQA1,HMOX1,HSH2D,ITGB2,JAK1,LY6E,PKM,RAC1,SLC44A2,TNF,TSPO	17
Cancer,Organismal Injury and Abnormalities,Reproductive System Disease	metastasis	Metastasis of breast cancer cell lines	1,97E-02	5,98E-01	 	-1,976	CXCR4,GPI,IGF2BP3,ILK,NCOA3,NME1,PDLIM1,PTPN18,RHOA,SYK,TLN1,TNF,VIM	13
Cellular Movement	cell movement	Cell movement of hepatoma cell lines	1,97E-02	5,98E-01	 	-1,118	ARID3A,CTSH,DDX17,HMOX1,IGF2BP3,NCOA3,NME1,PKM,PTPN6,RAC1,RAP1B,TAGLN2,VDAC1	13
Connective Tissue Disorders,Inflammatory Disease,Inflammatory Response,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	experimentally-induced arthritis	Experimentally-induced arthritis	1,97E-02	5,98E-01	Decreased	-2,423	CXCR3,DUSP1,FGR,GPI,HCK,HMOX1,LBH,PARP1,PTPN22,PYCARD,TCIRG1,TNF,TNFRSF1B	13
Neurological Disease,Organismal Injury and Abnormalities	damage	Damage of nervous system	1,97E-02	5,98E-01	 	-0,743	ADD3,CD47,FDPS,FKBP1A,GSN,HMOX1,PARK7,PARP1,PYCARD,TNF,TNFRSF1B,TSPO,UCP2	13
Hematological Disease,Immunological Disease,Organismal Injury and Abnormalities	B-cell chronic lymphoproliferative disorder	B-cell chronic lymphoproliferative disorder	1,99E-02	5,98E-01	 	 	ARL6IP5,CD52,CFL1,DUSP1,FCMR,FGR,HLA-DQA1,HVCN1,IKZF3,ITGAX,ITGB2,MRPL51,MS4A1,MTMR14,PARP1,PPIA,PPM1M,PPP1CA,PTPN1,PTPN18,PTPN22,PTPRC,RFTN1,SYK,TERF2IP,TNF,ZYX	27
Gastrointestinal Disease,Inflammatory Disease,Organismal Injury and Abnormalities	inflammatory bowel disease	Inflammatory Bowel Disease	1,99E-02	5,98E-01	 	 	ARHGDIB,CD19,CD53,CD79A,CYBA,DHRS9,FDFT1,FDPS,FKBP1A,HLA-DMB,HLA-DQA1,HLA-DQB1,IKZF3,ITGB7,JAK1,LAPTM5,LY6E,MAZ,MS4A1,PKM,PSMB8,PTPRC,PYCARD,RHOA,TLE1,TNF,TSPO	27
Cellular Development,Tissue Development	differentiation	Differentiation of bone marrow cells	1,99E-02	5,98E-01	Decreased	-2,029	ACTR2,CIB1,EIF6,GRB2,HMGA1,MEF2C,PTPN6,RAC1,SPI1,TCF4,TESC,TNF,TRAPPC1,TSC22D3,WASF2,ZEB2	16
Organismal Development,Organismal Injury and Abnormalities	abnormal morphology	Abnormal morphology of thoracic cavity	2,00E-02	5,98E-01	 	 	ARHGDIB,ARID3A,ATP2A3,CAPNS1,CIB1,CXCR4,DBNL,DUSP1,FKBP1A,FLNA,FUT8,GNAI2,GNG5,GRB2,GSN,H1-2,HCK,HHEX,HLA-DQA1,HMOX1,HOPX,ILK,JAK1,LITAF,LY6E,MALT1,MEF2A,MEF2C,MTMR14,MTPN,NDUFS6,PARK7,PARP1,PFN1,PPIA,PPP1CA,PTPN22,RAC1,RASGRP1,RHOA,S100A10,SPI1,SPTAN1,SYK,TLN1,TNF,TNFRSF1B,TPI1,TSC22D3,TXNIP,VDAC1,WASF2,WIPF1,YWHAE	54
Cardiovascular System Development and Function,Tissue Morphology	morphology	Morphology of blood vessel	2,00E-02	5,98E-01	 	 	CXCR4,EHD3,FLNA,HHEX,HMOX1,MEF2C,PARP1,RAC1,SYK,TNF,TNFRSF1B,UCP2,VIM,WASF2	14
Cellular Movement	movement	Movement of progenitor cells	2,00E-02	5,98E-01	 	-1,611	CFL1,CXCR3,CXCR4,GNAI2,GSN,ITGB2,LCP1,MTCH2,PTPN6,PTPRC,RHOA,SPI1,TCIRG1,TNF	14
Cellular Movement	invasion	Invasion of cells	2,03E-02	5,98E-01	Decreased	-4,739	ANXA2,ARF5,ARID3A,CAP1,CAPNS1,CD53,CD82,CD99,CIB1,CKS2,CSK,CTSH,CXCR3,CXCR4,CYTOR,DBNL,DUSP1,EFHD2,EIF4A1,FABP5,FKBP1A,FLNA,FUT8,GAPDH,GLUL,GNAI2,GOLPH3,GPI,GRB2,GRN,GSN,HHEX,HMGA1,HMOX1,HSBP1,IGF2BP3,ILK,ITGAX,ITGB2,LCP1,MALT1,MAP4K1,MIEN1,MRPL52,NCOA3,NCOA4,NDUFB2,NEAT1,NME1,NME2,OGT,PAK2,PARK7,PDLIM1,PEA15,PFN1,PIKFYVE,PKM,PREX1,PTPN1,PTPN6,PYCARD,RAC1,RAP1B,RHOA,RHOG,RNF141,S100A10,S100A11,SLC38A1,SMARCC1,SPI1,SRA1,SYK,TAGLN2,TCF4,TCIRG1,TESC,TLN1,TMSB10/TMSB4X,TNF,VASP,VCP,VDAC1,VIM,WASF2,YBX1,ZEB2	88
Cell Death and Survival,Organismal Injury and Abnormalities	cell death	Cell death of leukemia cell lines	2,10E-02	5,98E-01	 	0,551	BLOC1S2,BTG1,CD47,CD82,CD99,CXCR4,DUSP1,FCMR,FGR,GAPDH,GSN,HCK,HMGA1,HMOX1,MAP4K1,OGT,PAK2,PARP1,PKM,PPIA,PPP1CA,PTPN6,PTPRC,PYCARD,RAC1,SAT1,TNF,TNFRSF1B,TPT1,TSC22D3,UGCG,YBX1	32
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	chemotaxis	Chemotaxis of leukocytes	2,10E-02	5,98E-01	Decreased	-2,386	CD47,CORO1A,CUX1,CXCR3,CXCR4,DUSP1,FGR,GNAI2,GRN,GSN,HCK,ITGB2,LCP1,LITAF,LSP1,NCKAP1L,PFN1,PIKFYVE,PNOC,PPIA,PREX1,PTPN6,RAC1,RAC2,RHOA,SERPINB1,SPI1,SUMO1,SYK,TMSB10/TMSB4X,TNF,WIPF1	32
Cardiovascular System Development and Function,Organ Morphology,Organismal Development	morphology	Morphology of heart	2,18E-02	5,98E-01	 	 	ARID3A,ATP2A3,CAPNS1,CAPZB,CIB1,CXCR4,DUSP1,FKBP1A,FLNA,GNAI2,GNG5,GRB2,GSN,H1-2,HCK,HHEX,HLA-DQA1,HMOX1,HOPX,ILK,LITAF,LY6E,MEF2A,MEF2C,MTMR14,MTPN,NDUFS6,PARK7,PARP1,PFN1,PPIA,PPP1CA,RAC1,RHOA,S100A10,SPTAN1,TKT,TLN1,TNF,TNFRSF1B,TPI1,TXNIP,VDAC1,WASF2,YWHAE	45
Cell-To-Cell Signaling and Interaction,Cellular Movement	recruitment	Recruitment of myeloid cells	2,19E-02	5,98E-01	 	-1,964	CD19,CD47,CD53,CNN2,CXCR4,FGR,FUT8,GLRX,GSN,HCK,ITGB2,ITGB7,LSP1,PARP1,PREX1,PYCARD,RAC1,RAP1B,RASGRP2,RHOA,TNF,TNFRSF1B,TPT1,UCP2,ZDHHC12	25
Cellular Movement	invasion	Invasion of tumor cell lines	2,21E-02	5,98E-01	Decreased	-4,583	ANXA2,ARF5,ARID3A,CAP1,CAPNS1,CD82,CD99,CIB1,CKS2,CSK,CTSH,CXCR3,CXCR4,CYTOR,DBNL,DUSP1,EFHD2,EIF4A1,FABP5,FUT8,GAPDH,GLUL,GNAI2,GOLPH3,GPI,GRN,GSN,HHEX,HMGA1,HMOX1,HSBP1,IGF2BP3,ILK,ITGB2,LCP1,MALT1,MAP4K1,MRPL52,NCOA3,NCOA4,NDUFB2,NEAT1,NME1,NME2,PAK2,PARK7,PDLIM1,PEA15,PKM,PREX1,PTPN1,PTPN6,RAC1,RAP1B,RHOA,RNF141,S100A10,S100A11,SLC38A1,SMARCC1,SRA1,SYK,TAGLN2,TCF4,TCIRG1,TESC,TLN1,TMSB10/TMSB4X,TNF,VCP,VDAC1,VIM,WASF2,YBX1,ZEB2	75
Connective Tissue Disorders,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	non-traumatic arthropathy	Non-traumatic arthropathy	2,25E-02	5,98E-01	 	-0,519	ARHGAP30,ARHGDIB,ATP2B1,CD68,CD79A,CXCR3,CXCR4,DUSP1,DYNLL1,FDFT1,FDPS,FKBP1A,GLUL,GOLPH3,GRN,GSN,H3-3A/H3-3B,HCK,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HMOX1,ITGB2,JAK1,LBH,LCP1,LY6E,MAZ,MRPS36,MS4A1,MYL12A,PARP1,POLR2L,PPIA,PPP1R7,PRDX1,PRDX5,PSMB8,PTPN1,PTPN22,PTPRC,RAB1B,RTF2,S100A10,SF3B6,SLC44A2,SUMO1,SYK,TALDO1,TCF4,TCIRG1,TNF,TNFRSF1B,TPI1,TSPO,VIM	59
Organismal Development,Organismal Injury and Abnormalities	abnormal morphology	Abnormal morphology of mediastinum	2,39E-02	5,98E-01	 	 	ARHGDIB,ARID3A,ATP2A3,CAPNS1,CIB1,CXCR4,DUSP1,FKBP1A,FLNA,GNAI2,GNG5,GRB2,GSN,H1-2,HCK,HHEX,HLA-DQA1,HMOX1,HOPX,ILK,JAK1,LITAF,LY6E,MALT1,MEF2A,MEF2C,MTMR14,MTPN,NDUFS6,PARK7,PARP1,PFN1,PPIA,PPP1CA,PTPN22,RAC1,RASGRP1,RHOA,S100A10,SPI1,SPTAN1,TLN1,TNF,TNFRSF1B,TPI1,TSC22D3,TXNIP,VDAC1,WASF2,WIPF1,YWHAE	51
Cardiovascular System Development and Function	morphology	Morphology of cardiovascular system	2,39E-02	5,98E-01	 	 	ARID3A,ATP2A3,CAPNS1,CAPZB,CIB1,CXCR4,DUSP1,EHD3,FKBP1A,FLNA,GNAI2,GNG5,GRB2,GSN,H1-2,HCK,HHEX,HLA-DQA1,HMOX1,HOPX,ILK,LITAF,LY6E,MEF2A,MEF2C,MTMR14,MTPN,NDUFS6,PARK7,PARP1,PFN1,PPIA,PPP1CA,PSAP,RAC1,RHOA,RHOG,S100A10,SPTAN1,SYK,TKT,TLN1,TNF,TNFRSF1B,TPI1,TXNIP,UCP2,VDAC1,VIM,WASF2,YWHAE	51
Cardiovascular Disease,Organismal Injury and Abnormalities	atherosclerosis	Atherosclerosis	2,40E-02	5,98E-01	Decreased	-2,489	ATP2B1,CD47,CD68,FABP5,FKBP1A,GNAI2,HMOX1,IDS,ITGAX,ITGB2,MEF2A,MS4A1,NCOA3,PARP1,PFN1,PKM,PPIA,RHOA,SCP2,SPI1,TKT,TNF,VASP	23
Hematological System Development and Function,Tissue Morphology	quantity	Quantity of blood cells	2,43E-02	5,98E-01	 	-1,817	ADD3,ARHGDIB,ARID3A,ATP2B1,BLOC1S2,CAPNS1,CD19,CD47,CD79A,CD82,CIB1,CLTA,CNN2,CORO1A,CSK,CXCR3,CXCR4,DBI,DUSP1,FABP5,FCMR,FKBP1A,FLNA,GNAI2,GRN,GSN,HCK,HCST,HLA-DQA1,HLA-DQB1,HMOX1,HVCN1,IKZF3,ITGB2,ITGB7,JAK1,LITAF,LSP1,MALT1,MS4A1,MYO1G,NCKAP1L,NEDD8,PAK2,PARK7,PARP1,PCLAF,PIKFYVE,PKM,PLAC8,PLD4,POU2F2,PPIA,PRDX1,PREX1,PSAP,PSMB8,PTPN22,PTPN6,PTPRC,PYCARD,RAC1,RAC2,RAP1B,RASGRP1,RHOA,SERPINB1,SIGLEC10,SPI1,SYK,TCF4,TCIRG1,TLN1,TNF,TNFRSF1B,TPM3,TRAPPC1,TSC22D3,TSPO,TXNIP,UNC93B1,VASP,WIPF1,YBX1,ZEB2	85
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	cell rolling	Cell rolling of neutrophils	2,43E-02	5,98E-01	Decreased	-2,138	FGR,GNAI2,HCK,PREX1,RAC2,TLN1,TNF	7
Cellular Development	maturation	Maturation of progenitor cells	2,43E-02	5,98E-01	 	0,114	CAPZB,CXCR4,HMOX1,PTPN6,PTPRC,RASGRP1,TLE5	7
Neurological Disease,Organismal Injury and Abnormalities	memory deficits	Memory deficits	2,43E-02	5,98E-01	 	 	ARL6IP5,FABP5,GRN,IDS,SUB1,TCF4,TNF	7
Post-Translational Modification	autophosphorylation	Autophosphorylation of protein	2,43E-02	5,98E-01	 	 	FGR,HCK,MAP4K1,PAK2,PIKFYVE,PTPRC,SYK	7
Cell-To-Cell Signaling and Interaction	response	Response of bacteria	2,43E-02	5,98E-01	 	-1,331	FCMR,MYO1G,NCKAP1L,RAC1,SYK,TNF,YBX1	7
Organismal Functions	hypoactivity	Hypoactivity of mice	2,43E-02	5,98E-01	 	 	ARL6IP5,DECR1,HMOX1,IDS,PARK7,PSAP,TNF	7
